filename,url,label
dd04baf8a1ec4e99b661fc50ce11f3fb.jpg,"https://sun1-29.userapi.com/s/v1/ig2/RCHXNPoCmVyG_MTSLpneI16wpGQV_-liUAnsJuyQT09snUR5QzhpQJth7hLjyO4dkbx0yiGc7r7AcRH6wuEn8g_n.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1024x1024&from=bu&cs=160x0",2
85a5f9b8af0a145df51d2a9ba6722ff9.jpg,"https://sun1-19.userapi.com/s/v1/ig2/lMzHt5ja6rS0ijL6a-o94YMaRPAve3A-H4Nn9K7cahcaoTZMy6N5Zwlh4X3qf7AP1iOF4D30T5nsG6n-RAS0rQpa.jpg?quality=95&as=32x47,48x70,72x105,108x157,160x233,240x350,360x525,480x700,540x787,640x933,720x1050,1080x1574,1280x1866,1440x2099,1756x2560&from=bu&cs=160x0",5
ba334090dd827a881f02581c09b7980d.jpg,"https://sun9-73.userapi.com/s/v1/ig2/nTnnvHD_7PxJMMABlx62U2r39TiKvAtd_tia4aqoshlowkk7an_VuwoF1hen2LwVH-84sKiNUgPbBdXCiqzEk0ck.jpg?quality=95&as=32x37,48x55,72x82,108x124,160x183,240x275,360x412,480x550,540x619,563x645&from=bu&cs=160x0",3
bbbc5f3698c7f426b8886a110175a273.jpg,"https://sun1-87.userapi.com/s/v1/ig2/WnAX9NlUvvVFFmwQ0C7mmH4ZWAx6NB_9ckafHUapVnmUrwhZHMwpI8LTFa8rK6SSGutObYq30G5YHlmh1wQ6h5Pr.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu&cs=160x0",4
ceb955741afa84345f646814b86a5425.jpg,"https://sun1-21.userapi.com/s/v1/ig2/tGsdVQTGPMOqSfENcRAzJccctI4rluo9k8Vg7jWDhFrYM7N4BnLVamv6eOu_RoAO5tzRX3WEXhbQeexPlFXX9vDO.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,2560x2560&from=bu&cs=160x0",5
fa9e8d6b60483a769d05bef600c94df8.jpg,"https://sun9-78.userapi.com/s/v1/ig2/88bbI4egkwJ15n6Zuqp4EZy5RdBJ2Dxz9doriRWBZRoWOvQVXjSmZaGodXsE00uiJCt8L9pSc9Jdb4fVNsosKoFk.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720&from=bu&cs=160x0",3
deb355a6ce636de32e5e48f02873a9da.jpg,"https://sun1-26.userapi.com/s/v1/if2/EENAHus7DWv2qeAGNmaFq3hGzinp0i1E1XX_GPaeb7-JdrBr8xI2jEeze0y3BE3-9Z_99rW1tfX7ITnBNyGU6SgL.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,1080x720,1280x853,1440x960,1536x1024&from=bu&cs=160x0",2
7f15360c056929bd549b47db3a0e9a82.jpg,"https://sun9-54.userapi.com/s/v1/if2/AqofXZYUIv72vzaHSvr_feNHSdclq-W4WHikqu7jkmlvcpCkCA57t8TMGxN35xXNgZLK53VKRUtTEdQZyzOjCEfz.jpg?quality=95&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x427,720x480,1080x720,1280x853,1440x960,2560x1707&from=bu&cs=160x0",0
2d70aa8c5dca1c56d7505468b6214308.jpg,"https://sun9-78.userapi.com/s/v1/if2/F0ZG0kBVn-PiydNCfrd1OvsIUdWISF5bHPmh69E1BKbW1uaqGDhQ4OOjYsM-2LLdqtT94fED0SBHnnCysGjw3WT4.jpg?quality=95&as=32x23,48x35,72x52,108x78,160x116,240x174,360x261,480x348,540x392,640x464,670x486&from=bu&cs=160x0",3
ce86507f3aa17b4eedd69724d432fcae.jpg,"https://sun1-28.userapi.com/s/v1/ig2/jgVvTklvQqfuI8Dv9P5dobf3kJ8Ndnf1k1G6nZbpTDQ-z-aFrFOukYlUMeTmJnLTrcHcmYo4tvszM_c7ZDX6hvWv.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x159,240x239,360x359,480x478,540x538,564x562&from=bu&cs=160x0",3
